Gear Name,Qty,Days,Unit Rate,Day2+ Rate,Line Total
EV EKX12,2,1,$75.00,$37.50,$150.00
EV ELX200,2,1,$60.00,$30.00,$120.00
EV EKX 18 Sub,2,1,$125.00,$62.50,$250.00
QSC K12,3,1,$60.00,$30.00,$180.00
Shure Beta52A,1,1,$35.00,$17.50,$35.00
Shure SM57,2,1,$15.00,$7.50,$30.00
Shure SM58,3,1,$15.00,$7.50,$45.00
"DW Performer (Black) KD22 FT16 RT12,10 & 14 snare (2015)",1,1,$250.00,$125.00,$250.00
Fender Hot Rod Deluxe IV (40w / 1 x 12”),1,1,$75.00,$37.50,$75.00
Ampeg SVT Classic,1,1,$100.00,$50.00,$100.00
Ampeg 4 x 10 Classic,1,1,$60.00,$30.00,$60.00
Sound Technician,9,1,$65.00,,$585.00